City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Krasnovishersk,RU,60.4078,57.082,0.63,99,100,1.28,overcast clouds
258,Lardos,GR,36.0942,28.0157,55.22,68,78,15.99,broken clouds
259,Hammerfest,NO,70.6634,23.6821,19.85,86,75,3.44,light snow
260,Inhambane,MZ,-23.865,35.3833,75.33,83,0,7.43,clear sky
261,Kununurra,AU,-15.7667,128.7333,76.98,94,36,6.91,moderate rain
262,Geraldton,AU,-28.7667,114.6,84.61,61,0,5.75,clear sky
263,Rantoul,US,40.3084,-88.1559,13.78,74,40,3.04,scattered clouds
264,Codrington,AU,-38.2667,141.9667,71.44,60,25,10.71,scattered clouds
265,High Level,CA,58.5169,-117.136,3.31,78,100,6.91,overcast clouds
266,Mecca,SA,21.4267,39.8261,71.58,27,7,4.79,clear sky
267,Lagoa,PT,39.05,-27.9833,56.64,60,100,5.06,overcast clouds
268,Ancud,CL,-41.8697,-73.8203,60.33,95,6,2.26,clear sky
269,Otofuke,JP,42.9917,143.2003,23.95,81,19,1.81,few clouds
270,Severobaykalsk,RU,55.65,109.3167,-8.45,80,17,2.57,few clouds
271,Fallon,US,39.4735,-118.7774,57.27,24,0,8.05,clear sky
272,Isla Vista,US,34.4133,-119.861,74.34,42,0,4.61,clear sky
273,Puerto Varas,CL,-41.3195,-72.9854,61.86,94,0,5.75,clear sky
274,Sungai Padi,TH,6.0851,101.8766,80.1,86,91,2.91,overcast clouds
275,Coihaique,CL,-45.5752,-72.0662,58.95,58,82,4.61,broken clouds
276,Narsimhapur,IN,22.95,79.2,56.84,32,4,4.56,clear sky
277,Mzimba,MW,-11.9,33.6,59.86,98,99,2.04,overcast clouds
278,Beroroha,MG,-21.6667,45.1667,74.01,70,3,3.96,clear sky
279,Nioro,GM,13.35,-15.75,73.27,17,57,6.82,broken clouds
280,Nakama,JP,33.8167,130.7,54.95,59,5,7.0,clear sky
281,Oksfjord,NO,70.2396,22.3479,20.32,95,100,6.6,light snow
282,Margate,GB,51.3813,1.3862,49.3,86,100,10.0,overcast clouds
283,Fortuna,US,40.5982,-124.1573,60.48,95,100,0.0,overcast clouds
284,Puerto Penasco,MX,31.3167,-113.5333,69.91,44,0,8.16,clear sky
285,Tondano,ID,1.3038,124.9112,73.49,61,94,2.21,overcast clouds
286,Fort Nelson,CA,58.8053,-122.7002,4.59,78,75,4.61,broken clouds
287,Tukrah,LY,32.5341,20.5791,51.39,81,8,3.09,clear sky
288,Bereda,ES,43.2686,-7.5406,44.35,100,91,6.62,overcast clouds
289,Adre,TD,13.4667,22.2,66.9,14,100,15.59,overcast clouds
290,Nigran,ES,42.1415,-8.8066,53.04,65,34,4.0,light rain
291,Misratah,LY,32.3754,15.0925,56.71,70,55,8.41,broken clouds
292,Grindavik,IS,63.8424,-22.4338,30.15,80,75,12.66,light snow
293,Pacific Grove,US,36.6177,-121.9166,72.0,85,100,3.44,fog
294,Pangody,RU,65.85,74.4859,-14.66,99,99,8.52,overcast clouds
295,Yei,SS,4.095,30.6779,73.33,43,96,1.9,overcast clouds
296,Evensk,RU,61.95,159.2333,5.5,71,24,9.19,few clouds
297,Ban Nahin,LA,18.2418,104.2122,72.77,63,100,4.03,overcast clouds
298,Demyansk,RU,57.643,32.466,27.88,88,100,10.98,light snow
299,Cortez,US,37.3489,-108.5859,43.52,37,0,3.44,clear sky
300,Muzhi,RU,65.3667,64.6667,-22.58,100,100,3.09,overcast clouds
